t_sec,cmd_vx,cmd_wz,meas_speed_tf
0.050,0.000,0.000,0.000
0.100,0.000,0.000,0.117
0.150,0.000,0.000,0.000
0.200,0.000,0.000,0.008
0.250,0.000,0.000,0.000
0.300,0.000,0.000,0.137
0.350,0.000,0.000,0.000
0.400,0.000,0.000,0.089
0.450,0.000,0.000,0.000
0.500,0.000,0.000,0.090
0.550,0.000,0.000,0.000
0.600,0.000,0.000,0.103
0.650,0.000,0.000,0.000
0.700,0.000,0.000,0.155
0.750,0.000,0.000,0.000
0.800,0.000,0.000,0.053
0.851,0.000,0.000,0.000
0.900,0.000,0.000,0.116
0.950,0.000,0.000,0.000
1.000,0.000,0.000,0.063
1.050,0.000,0.000,0.000
1.100,0.000,0.000,0.089
1.150,0.000,0.000,0.000
1.200,0.000,0.000,0.088
1.250,0.000,0.000,0.000
1.301,0.000,0.000,0.095
1.351,0.000,0.000,0.000
1.400,0.000,0.000,0.093
1.450,0.000,0.000,0.000
1.500,0.000,0.000,0.116
1.550,0.000,0.000,0.000
1.600,0.000,0.000,0.122
1.650,0.000,0.000,0.000
1.700,0.000,0.000,0.057
1.750,0.000,0.000,0.000
1.800,0.000,0.000,0.221
1.850,0.000,0.000,0.000
1.900,0.000,0.000,0.084
1.950,0.000,0.000,0.000
2.000,0.000,0.000,0.175
2.050,0.000,0.000,0.000
2.101,0.000,0.000,0.141
2.150,0.000,0.000,0.000
2.200,0.000,0.000,0.261
2.250,0.000,0.000,0.000
2.300,0.000,0.000,0.155
2.350,0.000,0.000,0.000
2.400,0.000,0.000,0.065
2.450,0.000,0.000,0.000
2.500,0.000,0.000,0.054
2.551,0.000,0.000,0.000
2.600,0.000,0.000,0.250
2.650,0.000,0.000,0.000
2.701,0.000,0.000,0.130
2.750,0.000,0.000,0.000
2.800,0.000,0.000,0.048
2.850,0.000,0.000,0.000
2.900,0.000,0.000,0.032
2.950,0.000,0.000,0.000
3.000,0.000,0.000,0.192
3.050,0.000,0.000,0.000
3.100,0.000,0.000,0.182
3.150,0.000,0.000,0.000
3.200,0.000,0.000,0.142
3.250,0.000,0.000,0.000
3.300,0.000,0.000,0.061
3.350,0.000,0.000,0.000
3.400,0.000,0.000,0.031
3.450,0.000,0.000,0.000
3.500,0.000,0.000,0.277
3.550,0.000,0.000,0.000
3.600,0.000,0.000,0.206
3.650,0.000,0.000,0.000
3.700,0.000,0.000,0.225
3.750,0.000,0.000,0.000
3.800,0.000,0.000,0.118
3.850,0.000,0.000,0.000
3.900,0.000,0.000,0.214
3.950,0.000,0.000,0.000
4.000,0.000,0.000,0.117
4.050,0.000,0.000,0.000
4.100,0.000,0.000,0.058
4.150,0.000,0.000,0.000
4.201,0.000,0.000,0.053
4.250,0.000,0.000,0.000
4.300,0.000,0.000,0.273
4.350,0.000,0.000,0.000
4.400,0.000,0.000,0.079
4.450,0.000,0.000,0.000
4.500,0.000,0.000,0.169
4.550,0.000,0.000,0.000
4.600,0.000,0.000,0.125
4.650,0.000,0.000,0.000
4.700,0.000,0.000,0.100
4.751,0.000,0.000,0.000
4.802,0.000,0.000,0.092
4.850,0.000,0.000,0.000
4.900,0.000,0.000,0.245
4.951,0.000,0.000,0.000
5.000,0.000,0.000,0.088
5.051,0.000,0.000,0.000
5.100,0.000,0.000,0.045
5.150,0.000,0.000,0.000
5.200,0.000,0.000,0.412
5.250,0.000,0.000,0.000
5.300,0.000,0.000,0.197
5.350,0.000,0.000,0.000
5.400,0.000,0.000,0.035
5.450,0.000,0.000,0.000
5.500,0.000,0.000,0.051
5.550,0.000,0.000,0.000
5.600,0.000,0.000,0.247
5.650,0.000,0.000,0.000
5.700,0.000,0.000,0.133
5.750,0.000,0.000,0.000
5.800,0.000,0.000,0.040
5.850,0.000,0.000,0.000
5.900,0.022,0.049,0.064
5.951,0.048,0.103,0.000
6.000,0.070,0.150,0.176
6.050,0.077,0.182,0.000
6.100,0.083,0.219,0.134
6.150,0.095,0.254,0.000
6.201,0.111,0.271,0.073
6.250,0.117,0.285,0.000
6.300,0.122,0.312,0.096
6.350,0.126,0.318,0.000
6.400,0.132,0.316,0.268
6.450,0.133,0.323,0.000
6.501,0.133,0.342,0.145
6.550,0.131,0.358,0.000
6.600,0.140,0.361,0.138
6.650,0.149,0.376,0.000
6.700,0.148,0.378,0.004
6.750,0.151,0.385,0.000
6.800,0.154,0.372,0.146
6.850,0.151,0.378,0.000
6.900,0.000,0.000,1.031
6.950,0.000,0.000,0.000
7.000,0.138,0.396,0.893
7.050,0.141,0.399,0.000
7.100,0.151,0.390,0.739
7.150,0.154,0.380,0.000
7.200,0.148,0.369,0.095
7.250,0.153,0.369,0.000
7.300,0.158,0.360,0.253
7.350,0.157,0.366,0.000
7.400,0.151,0.365,0.641
7.450,0.153,0.371,0.000
7.500,0.153,0.372,1.570
7.550,0.152,0.387,0.000
7.600,0.153,0.383,0.170
7.650,0.000,0.000,0.000
7.700,0.157,0.331,1.597
7.750,0.161,0.290,0.000
7.800,0.160,0.191,0.667
7.850,0.168,0.156,0.000
7.900,0.167,0.133,0.364
7.950,0.170,0.120,0.000
8.001,0.168,0.103,0.324
8.050,0.171,0.084,0.000
8.100,0.174,0.067,1.152
8.150,0.174,0.052,0.000
8.200,0.188,0.038,0.735
8.250,0.184,0.022,0.000
8.301,0.184,0.023,0.511
8.350,0.191,0.023,0.000
8.400,0.187,0.010,0.733
8.450,0.184,0.008,0.000
8.500,0.191,0.021,0.404
8.550,0.189,0.005,0.000
8.600,0.196,0.000,0.470
8.650,0.196,0.010,0.000
8.700,0.193,0.007,0.576
8.750,0.190,0.012,0.000
8.800,0.192,-0.006,0.286
8.850,0.190,0.002,0.000
8.900,0.192,0.014,0.185
8.950,0.195,0.009,0.000
9.000,0.211,-0.003,0.308
