t_sec,cmd_vx,cmd_wz,meas_speed_tf
9.950,0.000,0.000,0.000
10.000,0.000,0.000,0.051
10.050,0.000,0.000,0.000
10.100,0.000,0.000,0.037
10.150,0.000,0.000,0.000
10.200,0.000,0.000,0.195
10.250,0.000,0.000,0.000
10.300,0.000,0.000,0.103
10.350,0.000,0.000,0.000
10.399,0.000,0.000,0.081
10.450,0.000,0.000,0.000
10.501,0.000,0.000,0.083
10.550,0.000,0.000,0.000
10.600,0.000,0.000,0.153
10.650,0.000,0.000,0.000
10.699,0.000,0.000,0.170
10.749,0.000,0.000,0.000
10.800,0.000,0.000,0.185
10.849,0.000,0.000,0.000
10.900,0.000,0.000,0.170
10.950,0.000,0.000,0.000
10.999,0.000,0.000,0.160
11.049,0.000,0.000,0.000
11.099,0.000,0.000,0.114
11.149,0.000,0.000,0.000
11.200,0.000,0.000,0.054
11.249,0.000,0.000,0.000
11.299,0.000,0.000,0.126
11.349,0.000,0.000,0.000
11.399,0.000,0.000,0.031
11.450,0.000,0.000,0.000
11.500,0.000,0.000,0.212
11.550,0.000,0.000,0.000
11.599,0.000,0.000,0.205
11.650,0.000,0.000,0.000
11.700,0.000,0.000,0.172
11.750,0.000,0.000,0.000
11.800,0.000,0.000,0.102
11.849,0.000,0.000,0.000
11.899,0.000,0.000,0.129
11.949,0.000,0.000,0.000
11.999,0.000,0.000,0.127
12.049,0.000,0.000,0.000
12.099,0.000,0.000,0.221
12.149,0.000,0.000,0.000
12.200,0.000,0.000,0.009
12.250,0.000,0.000,0.000
12.300,0.000,0.000,0.214
12.350,0.000,0.000,0.000
12.399,0.000,0.000,0.187
12.449,0.000,0.000,0.000
12.500,0.000,0.000,0.169
12.550,0.000,0.000,0.000
12.600,0.000,0.000,0.107
12.650,0.000,0.000,0.000
12.700,0.000,0.000,0.058
12.749,0.000,0.000,0.000
12.800,0.000,0.000,0.349
12.849,0.000,0.000,0.000
12.900,0.000,0.000,0.202
12.950,0.000,0.000,0.000
13.000,0.000,0.000,0.132
13.049,0.000,0.000,0.000
13.100,0.000,0.000,0.189
13.150,0.000,0.000,0.000
13.200,0.000,0.000,0.246
13.250,0.000,0.000,0.000
13.300,0.000,0.000,0.078
13.350,0.000,0.000,0.000
13.400,0.000,0.000,0.135
13.452,0.000,0.000,0.000
13.500,0.000,0.000,0.201
13.550,0.000,0.000,0.000
13.601,0.000,0.000,0.103
13.650,0.000,0.000,0.000
13.701,0.000,0.000,0.133
13.751,0.000,0.000,0.000
13.800,0.000,0.000,0.115
13.850,0.000,0.000,0.000
13.900,0.000,0.000,0.020
13.950,0.000,0.000,0.000
14.000,0.000,0.000,0.249
14.049,0.000,0.000,0.000
14.100,0.000,0.000,0.118
14.149,0.000,0.000,0.000
14.200,0.000,0.000,0.081
14.250,0.000,0.000,0.000
14.300,0.000,0.000,0.060
14.350,0.000,0.000,0.000
14.400,0.000,0.000,0.170
14.450,0.000,0.000,0.000
14.500,0.000,0.000,0.104
14.550,0.000,0.000,0.000
14.600,0.000,0.000,0.032
14.649,0.000,0.000,0.000
14.700,0.000,0.000,0.303
14.749,0.000,0.000,0.000
14.800,0.000,0.000,0.141
14.850,0.000,0.000,0.000
14.900,0.000,0.000,0.132
14.950,0.000,0.000,0.000
15.000,0.000,0.000,0.251
15.050,0.000,0.000,0.000
15.100,0.000,0.000,0.236
15.149,0.000,0.000,0.000
15.200,0.000,0.000,0.069
15.249,0.000,0.000,0.000
15.299,0.000,0.000,0.276
15.352,0.000,0.000,0.000
15.399,0.000,0.000,0.307
15.449,0.000,0.000,0.000
15.499,0.000,0.000,0.117
15.550,0.000,0.000,0.000
15.600,0.000,0.000,0.113
15.650,0.000,0.000,0.000
15.700,0.000,0.000,0.276
15.749,0.000,0.000,0.000
15.800,0.000,0.000,0.128
15.850,0.000,0.000,0.000
15.900,0.000,0.000,0.182
15.950,0.000,0.000,0.000
16.000,0.000,0.000,0.173
16.049,0.000,0.000,0.000
16.099,0.000,0.000,0.101
16.150,0.000,0.000,0.000
16.199,0.000,0.000,0.073
16.250,0.000,0.000,0.000
16.299,0.000,0.000,0.087
16.349,0.000,0.000,0.000
16.400,0.000,0.000,0.072
16.450,0.000,0.000,0.000
16.500,0.000,0.000,0.038
16.552,0.000,0.000,0.000
16.600,0.000,0.000,0.023
16.650,0.000,0.000,0.000
16.699,0.000,0.000,0.058
16.750,0.000,0.000,0.000
16.800,0.000,0.000,0.063
16.850,0.000,0.000,0.000
16.900,0.000,0.000,0.091
16.950,0.000,0.000,0.000
17.000,0.000,0.000,0.112
17.050,0.000,0.000,0.000
17.100,0.000,0.000,0.050
17.150,0.000,0.000,0.000
17.200,0.000,0.000,0.016
17.249,0.000,0.000,0.000
17.300,0.000,0.000,0.108
17.349,0.000,0.000,0.000
17.400,0.000,0.000,0.071
17.450,0.000,0.000,0.000
17.499,0.000,0.000,0.073
17.550,0.000,0.000,0.000
17.600,0.000,0.000,0.069
17.649,0.000,0.000,0.000
17.700,0.000,0.000,0.092
17.750,0.000,0.000,0.000
17.800,0.000,0.000,0.023
17.850,0.000,0.000,0.000
17.900,0.000,0.000,0.122
17.950,0.000,0.000,0.000
18.000,0.000,0.000,0.042
18.050,0.000,0.000,0.000
18.099,0.000,0.000,0.131
18.150,0.000,0.000,0.000
18.200,0.000,0.000,0.103
18.249,0.000,0.000,0.000
18.299,0.000,0.000,0.079
18.350,0.000,0.000,0.000
18.400,0.000,0.000,0.022
18.450,0.000,0.000,0.000
18.500,0.000,0.000,0.202
18.550,0.000,0.000,0.000
18.600,0.000,0.000,0.161
18.650,0.000,0.000,0.000
18.700,0.000,0.000,0.103
18.750,0.000,0.000,0.000
18.800,0.000,0.000,0.039
18.850,0.000,0.000,0.000
18.900,0.000,0.000,0.086
18.949,0.000,0.000,0.000
18.999,0.000,0.000,0.058
19.050,0.000,0.000,0.000
19.100,0.000,0.000,0.019
19.149,0.000,0.000,0.000
19.200,0.000,0.000,0.004
19.250,0.000,0.000,0.000
19.300,0.000,0.000,0.055
19.349,0.000,0.000,0.000
19.399,0.000,0.000,0.079
19.449,0.000,0.000,0.000
19.499,0.000,0.000,0.028
19.550,0.000,0.000,0.000
19.600,0.000,0.000,0.075
19.650,0.000,0.000,0.000
19.700,0.000,0.000,0.005
19.750,0.000,0.000,0.000
19.800,0.000,0.000,0.142
19.850,0.000,0.000,0.000
19.900,0.000,0.000,0.164
19.950,0.000,0.000,0.000
20.000,0.000,0.000,0.063
20.050,0.000,0.000,0.000
20.100,0.000,0.000,0.025
20.150,0.000,0.000,0.000
20.200,0.000,0.000,0.220
20.250,0.000,0.000,0.000
20.300,0.000,0.000,0.193
20.350,0.000,0.000,0.000
20.400,0.000,0.000,0.101
20.450,0.000,0.000,0.000
20.500,0.000,0.000,0.057
20.550,0.000,0.000,0.000
20.599,0.000,0.000,0.080
20.650,0.000,0.000,0.031
20.700,0.000,0.000,0.069
20.750,0.000,0.000,0.000
20.800,0.000,0.000,0.023
20.851,0.000,0.000,0.000
20.900,0.000,0.000,0.044
20.950,0.000,0.000,0.000
21.000,0.000,0.000,0.059
21.050,0.000,0.000,0.000
21.100,0.000,0.000,0.022
21.150,0.000,0.000,0.000
21.200,0.000,0.000,0.128
21.250,0.000,0.000,0.000
21.300,0.000,0.000,0.237
21.350,0.000,0.000,0.000
21.400,0.000,0.000,0.086
21.450,0.000,0.000,0.000
21.500,0.000,0.000,0.214
21.550,0.000,0.000,0.000
21.604,0.000,0.000,0.113
21.650,0.000,0.000,0.000
21.706,0.000,0.000,0.035
21.750,0.000,0.000,0.000
21.800,0.000,0.000,0.046
21.850,0.000,0.000,0.000
21.901,0.000,0.000,0.179
21.950,0.000,0.000,0.000
22.000,0.000,0.000,0.136
22.050,0.000,0.000,0.000
22.099,0.000,0.000,0.103
22.150,0.000,0.000,0.000
22.200,0.000,0.000,0.048
22.250,0.000,0.000,0.000
22.300,0.000,0.000,0.052
22.350,0.000,0.000,0.000
22.401,0.000,0.000,0.095
22.449,0.000,0.000,0.000
22.500,0.000,0.000,0.162
22.550,0.000,0.000,0.000
22.600,0.000,0.000,0.138
22.651,0.000,0.000,0.000
22.700,0.000,0.000,0.095
22.750,0.000,0.000,0.000
22.800,0.000,0.000,0.032
22.850,0.000,0.000,0.000
22.900,0.000,0.000,0.053
22.950,0.000,0.000,0.000
23.000,0.000,0.000,0.236
23.051,0.000,0.000,0.000
23.100,0.000,0.000,0.104
23.150,0.000,0.000,0.000
23.200,0.000,0.000,0.062
23.250,0.000,0.000,0.000
23.300,0.000,0.000,0.175
23.350,0.000,0.000,0.000
23.400,0.000,0.000,0.262
23.450,0.000,0.000,0.000
23.500,0.000,0.000,0.092
23.550,0.000,0.000,0.000
23.602,0.000,0.000,0.085
23.650,0.000,0.000,0.000
23.702,0.000,0.000,0.143
23.750,0.000,0.000,0.000
23.800,0.000,0.000,0.237
23.850,0.000,0.000,0.000
23.900,0.000,0.000,0.055
23.950,0.000,0.000,0.000
24.000,0.000,0.000,0.202
24.051,0.000,0.000,0.000
24.100,0.000,0.000,0.060
24.150,0.000,0.000,0.000
24.200,0.000,0.000,0.087
24.250,0.000,0.000,0.000
24.300,0.000,0.000,0.076
24.350,0.000,0.000,0.000
24.400,0.000,0.000,0.190
24.450,0.000,0.000,0.000
24.501,0.000,0.000,0.050
24.550,0.000,0.000,0.000
24.603,0.000,0.000,0.062
24.650,0.000,0.000,0.000
24.702,0.000,0.000,0.241
24.750,0.000,0.000,0.000
24.800,0.000,0.000,0.148
24.850,0.000,0.000,0.000
24.903,0.000,0.000,0.122
24.950,0.000,0.000,0.000
25.000,0.000,0.000,0.099
25.050,0.000,0.000,0.000
25.100,0.000,0.000,0.160
25.150,0.000,0.000,0.000
25.200,0.000,0.000,0.061
25.250,0.000,0.000,0.000
25.300,0.000,0.000,0.110
25.350,0.000,0.000,0.000
25.400,0.000,0.000,0.018
25.450,0.000,0.000,0.000
25.499,0.000,0.000,0.037
25.550,0.000,0.000,0.000
25.600,0.000,0.000,0.107
25.650,0.000,0.000,0.000
25.700,0.000,0.000,0.115
25.750,0.000,0.000,0.000
25.800,0.000,0.000,0.133
